# 1
1 0.000210 0.000225 0.002191 0.015659 
# 2
2 0.000149 0.000154 0.003236 0.031280 
# 4
4 0.000090 0.000187 0.005384 0.062586 
# 8
8 0.000060 0.000223 0.009151 0.125226 
# 16
16 0.000051 0.000215 0.017409 0.250542 
# 32
32 0.000045 0.000176 0.024668 0.501429 
# 64
64 0.000038 0.000184 0.029113 0.999595 
# 128
128 0.000025 0.000112 0.056384 1.028697 
# 256
256 0.000008 0.000040 0.129234 1.043808 
# 512
512 0.000003 0.000034 0.144793 1.069282 
# 1024
1024 0.000003 0.000005 0.000070 1.010436 
# 2048
2048 0.000003 0.000003 0.000032 1.835563 
# 4096
4096 0.000005 0.000003 0.000015 1.036879 
# 8192
8192 0.0 0.000002 0.000002 0.000013 
# 16384
16384 0.0 0.0 0.000003 0.000001 
# 32768
32768 0.0 0.0 0.0 0.000001 
